Date,Open,High,Low,Close,Adj Close,Volume
2008-11-05,4.811666,4.899167,4.176667,4.250000,3.472742,229200
2008-11-06,4.150000,4.197500,3.552500,3.600000,2.941617,4332000
2008-11-07,3.707500,3.887500,3.611667,3.854167,3.149300,6978000
2008-11-10,4.150000,4.161667,3.584167,3.704167,3.026733,5785200
2008-11-11,3.541667,3.687500,3.291667,3.459167,2.826540,11479200
2008-11-12,3.327500,3.327500,3.017500,3.074167,2.511950,13312800
2008-11-13,3.051667,3.533333,2.564167,3.518333,2.874885,32067600
2008-11-14,3.270833,3.583333,3.041667,3.067500,2.506503,34303200
2008-11-17,2.956667,3.170833,2.833333,2.850833,2.329461,44524800
2008-11-18,2.836667,2.995000,2.595833,2.876667,2.350570,61130400
2008-11-19,2.875000,2.970833,2.366667,2.413333,1.971973,75193200
2008-11-20,2.324167,2.497500,1.846667,1.996667,1.631508,137044800
2008-11-21,2.266667,2.270000,1.805833,2.222500,1.816040,124576800
2008-11-24,2.371667,2.797500,2.316667,2.597500,2.122458,98185200
2008-11-25,2.834167,2.845833,2.525000,2.742500,2.240940,80054400
2008-11-26,2.587500,3.045000,2.575833,3.028333,2.474499,61237200
2008-11-28,2.991667,3.125000,2.979167,3.118333,2.548039,21645600
2008-12-01,2.872500,2.881667,2.281667,2.308333,1.886176,101854800
2008-12-02,2.423333,2.573333,2.310000,2.552500,2.085688,109262400
2008-12-03,2.388333,2.786667,2.366667,2.744167,2.242302,136166400
2008-12-04,2.645833,2.825833,2.403333,2.525000,2.063217,109459200
2008-12-05,2.415000,2.816667,2.283333,2.781667,2.272943,167187600
2008-12-08,3.033333,3.206667,2.974167,3.091667,2.526250,142784400
2008-12-09,3.012500,3.204167,2.879167,2.917500,2.383935,126266400
2008-12-10,3.018333,3.119167,2.895833,3.009167,2.458837,125726400
2008-12-11,2.954167,3.097500,2.721667,2.786667,2.277029,113610000
2008-12-12,2.543333,2.885000,2.516667,2.860833,2.337632,142026000
2008-12-15,2.903333,2.916667,2.630833,2.738333,2.237535,91215600
2008-12-16,2.819167,3.157500,2.810833,3.155833,2.578681,121978800
2008-12-17,3.050833,3.229167,2.984167,3.075000,2.517018,118600800
2008-12-18,3.119167,3.140833,2.796667,2.905000,2.377865,94359600
2008-12-19,2.942500,3.075833,2.858333,2.899167,2.373090,97183200
2008-12-22,2.910000,2.916667,2.603333,2.766667,2.264634,76341600
2008-12-23,2.798333,2.835833,2.648333,2.679167,2.193011,68952000
2008-12-24,2.713333,2.736667,2.656667,2.710833,2.218932,17952000
2008-12-26,2.772500,2.778333,2.705000,2.767500,2.265316,19194000
2008-12-29,2.787500,2.787500,2.620000,2.750000,2.250991,46562400
2008-12-30,2.795833,2.935833,2.754167,2.932500,2.400375,57126000
2008-12-31,2.944167,3.128333,2.926667,3.032500,2.482229,65361600
2009-01-02,3.090000,3.385000,3.025000,3.329167,2.725064,87174000
2009-01-05,3.291667,3.428333,3.224167,3.329167,2.725064,111709200
2009-01-06,3.419167,3.508333,3.322500,3.410000,2.791229,119607600
2009-01-07,3.230833,3.280833,3.045833,3.123333,2.556580,116395200
2009-01-08,3.051667,3.155000,3.009167,3.155000,2.582501,104341200
2009-01-09,3.175833,3.185833,2.925000,2.947500,2.412653,114417600
2009-01-12,2.919167,2.928333,2.679167,2.733333,2.237349,85770000
2009-01-13,2.703333,2.808333,2.661667,2.744167,2.246216,123522000
2009-01-14,2.607500,2.622500,2.430000,2.475833,2.026574,158102400
2009-01-15,2.460000,2.576667,2.256667,2.508333,2.053177,200223600
2009-01-16,2.631667,2.641667,2.385000,2.558333,2.094104,209690400
2009-01-20,2.484167,2.505000,2.144167,2.162500,1.770097,207566400
2009-01-21,2.263333,2.435000,2.141667,2.424167,1.984283,180774000
2009-01-22,2.285000,2.421667,2.175833,2.302500,1.884694,200959200
2009-01-23,2.145000,2.415000,2.125000,2.345000,1.919481,213451200
2009-01-26,2.387500,2.536667,2.315833,2.370833,1.940627,203494800
2009-01-27,2.420000,2.507500,2.375000,2.460833,2.014296,165728400
2009-01-28,2.625833,2.752500,2.594167,2.680000,2.193693,189104400
2009-01-29,2.579167,2.604167,2.434167,2.446667,2.002700,157486800
2009-01-30,2.478333,2.510000,2.244167,2.293333,1.877190,200570400
2009-02-02,2.187500,2.318333,2.166667,2.275833,1.862866,156507600
2009-02-03,2.320833,2.413333,2.241667,2.360833,1.932442,160300800
2009-02-04,2.408333,2.500000,2.312500,2.327500,1.905157,184461600
2009-02-05,2.279167,2.500833,2.235833,2.451667,2.006793,242638800
2009-02-06,2.480833,2.687500,2.466667,2.651667,2.170501,174416400
2009-02-09,2.649167,2.730000,2.601667,2.669167,2.184826,123003600
2009-02-10,2.595833,2.667500,2.247500,2.297500,1.880601,261804000
2009-02-11,2.333333,2.375000,2.240833,2.337500,1.913342,170080800
2009-02-12,2.225833,2.358333,2.135833,2.351667,1.924938,226532400
2009-02-13,2.334167,2.394167,2.270833,2.280000,1.866276,137535600
2009-02-17,2.073333,2.093333,1.958333,1.968333,1.611164,262568400
2009-02-18,2.026667,2.030000,1.906667,1.962500,1.606389,197564400
2009-02-19,2.023333,2.047500,1.885833,1.898333,1.553866,187294800
2009-02-20,1.790833,1.937500,1.725000,1.835833,1.502707,292909200
2009-02-23,1.905833,1.923333,1.635833,1.655833,1.355370,267398400
2009-02-24,1.685000,1.857500,1.657500,1.834167,1.501343,277934400
2009-02-25,1.802500,1.894167,1.699167,1.776667,1.454277,343731600
2009-02-26,1.845833,1.885833,1.688333,1.695833,1.388111,297150000
2009-02-27,1.590000,1.700000,1.574167,1.586667,1.298754,333808800
2009-03-02,1.492500,1.520000,1.358333,1.371667,1.122767,332221200
2009-03-03,1.430000,1.430000,1.305833,1.340000,1.096847,329433600
2009-03-04,1.407500,1.498333,1.362500,1.425000,1.166423,362257200
2009-03-05,1.340000,1.387500,1.224167,1.258333,1.029999,382197600
2009-03-06,1.292500,1.348333,1.166667,1.259167,1.030681,396495600
2009-03-09,1.209167,1.325833,1.202500,1.216667,0.995893,351142800
2009-03-10,1.300000,1.440833,1.290000,1.432500,1.172562,385700400
2009-03-11,1.492500,1.533333,1.420000,1.458333,1.193707,447939600
2009-03-12,1.458333,1.649167,1.422500,1.635833,1.338999,341392800
2009-03-13,1.673333,1.695000,1.585000,1.673333,1.369694,373284000
2009-03-16,1.731667,1.791667,1.645000,1.652500,1.352641,317324400
2009-03-17,1.660000,1.808333,1.622500,1.802500,1.475423,275514000
2009-03-18,1.777500,1.995833,1.730000,1.929167,1.579105,387838800
2009-03-19,2.002500,2.004167,1.845833,1.864167,1.525899,294087600
2009-03-20,1.890000,1.898333,1.729167,1.737500,1.422217,223050000
2009-03-23,1.882500,2.120833,1.860833,2.117500,1.733263,296656800
2009-03-24,2.025000,2.122500,1.976667,1.978333,1.624659,272170800
2009-03-25,2.037500,2.145000,1.865000,2.033333,1.669826,372982800
2009-03-26,2.110000,2.185000,2.049167,2.173333,1.784798,333250800
2009-03-27,2.085833,2.124167,2.029167,2.044167,1.678723,249626400
2009-03-30,1.908333,1.909167,1.781667,1.842500,1.513109,216735600
2009-03-31,1.902500,2.000833,1.862500,1.885000,1.548011,222627600
2009-04-01,1.820833,2.029167,1.804167,1.998333,1.641083,260770800
2009-04-02,2.170833,2.268333,2.135000,2.176667,1.787536,334137600
2009-04-03,2.178333,2.250000,2.125833,2.247500,1.845705,205558800
2009-04-06,2.176667,2.211667,2.100000,2.199167,1.806013,206715600
2009-04-07,2.085833,2.122500,2.030000,2.033333,1.669826,215980800
2009-04-08,2.070833,2.133333,2.036667,2.103333,1.727312,220068000
2009-04-09,2.274167,2.355833,2.247500,2.350000,1.929881,244622400
2009-04-13,2.282500,2.417500,2.258333,2.366667,1.943568,182120400
2009-04-14,2.291667,2.362500,2.221667,2.242500,1.841599,226063200
2009-04-15,2.195833,2.318333,2.176667,2.312500,1.899085,229102800
2009-04-16,2.361667,2.470000,2.278333,2.415000,1.983261,259408800
2009-04-17,2.440000,2.510833,2.385833,2.470000,2.028428,211032000
2009-04-20,2.330833,2.342500,2.145833,2.152500,1.767689,214047600
2009-04-21,2.102500,2.283333,2.095833,2.278333,1.871027,271872000
2009-04-22,2.209167,2.389167,2.199167,2.237500,1.837493,284221200
2009-04-23,2.264167,2.308333,2.170000,2.301667,1.890189,259046400
2009-04-24,2.354167,2.462500,2.327500,2.411667,1.980523,262822800
2009-04-27,2.329167,2.444167,2.314167,2.350000,1.929881,235772400
2009-04-28,2.275000,2.406667,2.258333,2.334167,1.916878,191420400
2009-04-29,2.395833,2.553333,2.383333,2.469167,2.027744,213756000
2009-04-30,2.571667,2.620833,2.441667,2.473333,2.031166,235899600
2009-05-01,2.486667,2.549167,2.424167,2.522500,2.071543,139549200
2009-05-04,2.572500,2.775833,2.564167,2.774167,2.278218,203774400
2009-05-05,2.745833,2.789167,2.686667,2.744167,2.253581,181232400
2009-05-06,2.855000,2.890833,2.744167,2.874167,2.360340,247142400
2009-05-07,2.967500,2.980000,2.700833,2.756667,2.263846,247902000
2009-05-08,2.869167,2.973333,2.807500,2.952500,2.424670,249042000
2009-05-11,2.825833,2.868333,2.760000,2.786667,2.288483,160106400
2009-05-12,2.820833,2.841667,2.651667,2.763333,2.269321,210037200
2009-05-13,2.634167,2.661667,2.525000,2.550833,2.094810,234828000
2009-05-14,2.545000,2.662500,2.523333,2.600000,2.135188,199932000
2009-05-15,2.600000,2.655833,2.491667,2.536667,2.083177,178242000
2009-05-18,2.615000,2.768333,2.599167,2.759167,2.265899,193011600
