Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,9.637500,9.907500,9.637500,9.907500,9.426211,246800
2010-03-12,9.915000,9.980000,9.662500,9.662500,9.193114,303200
2010-03-15,9.467500,9.570000,9.212500,9.357500,8.902930,35600
2010-03-16,9.475000,10.127500,9.460000,10.117500,9.626012,84000
2010-03-17,10.500000,10.605000,10.292500,10.482500,9.973279,174000
2010-03-18,10.482500,10.512500,10.082500,10.227500,9.730667,105600
2010-03-19,10.100000,10.105000,9.595000,9.762500,9.288257,106400
2010-03-22,9.570000,10.505000,9.515000,10.467500,9.959008,253600
2010-03-23,10.615000,11.182500,10.610000,11.142500,10.601219,407600
2010-03-24,11.035000,11.035000,10.470000,10.525000,10.013715,135600
2010-03-25,10.980000,11.137500,10.462500,10.472500,9.963765,135600
2010-03-26,10.752500,10.807500,10.102500,10.307500,9.806781,154800
2010-03-29,10.640000,10.705000,10.510000,10.585000,10.070801,92000
2010-03-30,10.750000,10.900000,10.472500,10.787500,10.263463,128000
2010-03-31,10.870000,10.950000,10.562500,10.620000,10.104099,72000
2010-04-01,10.917500,11.357500,10.477500,10.655000,10.137400,109600
2010-04-05,11.060000,11.600000,10.352500,11.557500,10.996058,100000
2010-04-06,11.337500,11.545000,11.207500,11.382500,10.829559,133200
2010-04-07,11.442500,11.732500,11.127500,11.495000,10.936594,227600
2010-04-08,11.287500,11.287500,10.720000,11.087500,10.548890,298000
2010-04-09,11.215000,11.387500,10.960000,11.382500,10.829559,83600
2010-04-12,11.555000,11.962500,11.417500,11.667500,11.100714,160000
2010-04-13,11.732500,11.950000,11.582500,11.892500,11.314784,193600
2010-04-14,12.630000,13.465000,12.630000,13.422500,12.770459,433600
2010-04-15,13.662500,13.847500,13.385000,13.537500,12.879874,844400
2010-04-16,13.375000,13.375000,12.427500,13.037500,12.404162,296800
2010-04-19,12.600000,12.982500,11.877500,12.597500,11.985538,380800
2010-04-20,12.965000,13.300000,12.875000,13.207500,12.565905,194800
2010-04-21,13.300000,13.592500,12.210000,12.795000,12.173442,384800
2010-04-22,12.545000,13.560000,11.960000,13.517500,12.860846,439600
2010-04-23,13.740000,13.740000,13.030000,13.577500,12.917931,240000
2010-04-26,13.700000,14.070000,13.602500,13.697500,13.032101,256400
2010-04-27,13.125000,13.597500,12.240000,12.280000,11.683460,340800
2010-04-28,12.530000,13.187500,11.902500,12.525000,11.916557,457600
2010-04-29,12.530000,13.000000,12.382500,12.955000,12.325670,389200
2010-04-30,12.625000,12.625000,11.180000,11.207500,10.663060,673600
2010-05-03,11.365000,12.210000,11.365000,12.032500,11.447984,328400
2010-05-04,11.782500,11.782500,9.920000,10.440000,9.932844,1277600
2010-05-05,10.275000,10.587500,9.622500,10.105000,9.614118,528000
2010-05-06,10.000000,10.435000,6.250000,9.245000,8.795895,1163200
2010-05-07,9.000000,9.272500,7.715000,8.682500,8.260720,824800
2010-05-10,10.200000,10.240000,9.702500,10.200000,9.704503,480400
2010-05-11,9.655000,10.537500,9.532500,10.005000,9.518977,1848000
2010-05-12,10.170000,10.870000,10.170000,10.817500,10.292007,2822000
2010-05-13,10.527500,10.962500,9.832500,9.970000,9.485676,1932800
2010-05-14,9.735000,9.735000,8.515000,9.060000,8.619883,1056400
2010-05-17,8.867500,9.522500,8.550000,9.435000,8.976665,1276000
2010-05-18,9.667500,9.830000,8.537500,8.665000,8.244070,1075200
2010-05-19,8.622500,9.062500,8.200000,8.802500,8.374891,1420400
2010-05-20,8.125000,8.642500,7.565000,8.085000,7.692246,709200
2010-05-21,7.750000,8.985000,7.557500,8.612500,8.194120,748000
2010-05-24,8.442500,8.772500,8.105000,8.105000,7.711274,729600
2010-05-25,7.415000,8.290000,7.125000,8.287500,7.884909,721200
2010-05-26,8.705000,9.055000,8.197500,8.245000,7.844473,950000
2010-05-27,8.885000,9.512500,8.760000,9.500000,9.038508,705200
2010-05-28,9.610000,9.610000,8.657500,9.042500,8.603231,619200
2010-06-01,8.985000,9.317500,8.427500,8.427500,8.018107,302000
2010-06-02,8.727500,9.337500,8.462500,9.327500,8.874387,739600
2010-06-03,9.495000,9.795000,9.225000,9.685000,9.214521,606800
2010-06-04,9.435000,9.457500,8.287500,8.425000,8.015729,910000
2010-06-07,8.547500,8.670000,7.425000,7.485000,7.121393,1220800
2010-06-08,7.527500,7.562500,6.852500,7.402500,7.042901,833600
