Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,184.416687,188.333313,182.866684,187.433319,178.195740,521200
2010-03-02,191.716675,196.166687,190.183319,193.333313,183.804962,748000
2010-03-03,195.333313,200.766678,190.750000,194.116684,184.549728,911200
2010-03-04,195.166687,195.166687,187.100006,191.116684,181.697586,680800
2010-03-05,198.533325,205.000000,196.366684,205.000000,194.896667,798400
2010-03-08,207.250000,208.850006,204.383316,206.066681,195.910797,583600
2010-03-09,202.516678,212.133316,202.516678,209.816681,199.475937,826000
2010-03-10,211.783325,216.283325,209.750000,213.416687,202.898529,809600
2010-03-11,209.233322,214.550003,207.066681,213.983322,203.437225,510000
2010-03-12,217.466675,217.466675,210.149994,211.566681,201.139725,589600
2010-03-15,208.250000,209.800003,203.333313,207.433319,197.210052,486800
2010-03-16,209.983322,214.833313,207.000000,214.416687,203.849258,580400
2010-03-17,220.166687,223.850006,218.350006,220.600006,209.727844,966800
2010-03-18,219.800003,220.433319,212.516678,215.783325,205.148544,591200
2010-03-19,206.883316,217.683319,206.283325,206.883316,196.687164,709200
2010-03-22,200.683319,209.966675,199.083313,208.899994,198.604431,614800
2010-03-23,208.833313,213.466675,206.833313,213.033325,203.270355,577600
2010-03-24,206.166687,209.483322,203.966675,204.899994,195.509766,681200
2010-03-25,209.266678,210.949997,201.050003,202.250000,192.981216,742000
2010-03-26,206.866684,209.000000,199.783325,203.533325,194.205750,594400
2010-03-29,209.649994,215.833313,209.266678,215.833313,205.942017,464400
2010-03-30,216.666687,220.000000,214.133316,219.366684,209.313477,613200
2010-03-31,215.433319,221.616684,215.416687,220.366684,210.267654,448000
2010-04-01,228.350006,235.966675,228.250000,235.666687,224.866455,1140400
2010-04-05,241.100006,244.000000,238.333313,242.500000,231.386642,416400
2010-04-06,240.000000,246.433319,239.149994,244.766678,233.549423,480800
2010-04-07,242.750000,243.233322,234.283325,238.000000,227.092865,544400
2010-04-08,233.050003,241.333313,229.866684,240.616684,229.589615,624800
2010-04-09,242.800003,245.166687,240.699997,245.166687,233.931091,431600
2010-04-12,240.149994,243.533325,238.583313,239.683319,228.699005,487600
2010-04-13,237.600006,238.783325,231.100006,238.149994,227.235962,408000
2010-04-14,244.750000,248.433319,242.050003,248.333313,236.952591,638800
2010-04-15,243.500000,248.733322,243.333313,244.500000,233.294983,480800
2010-04-16,237.100006,238.050003,221.266678,224.750000,214.450073,1274400
2010-04-19,216.566681,223.600006,212.199997,221.566681,211.412628,644400
2010-04-20,226.883316,230.250000,224.500000,228.649994,218.171341,586000
2010-04-21,228.583313,229.066681,220.466675,226.066681,215.706421,594000
2010-04-22,220.433319,230.333313,216.649994,229.483322,218.966476,620800
2010-04-23,229.250000,233.816681,224.283325,233.500000,222.799072,615200
2010-04-26,237.533325,238.533325,231.966675,233.466675,222.767288,528400
2010-04-27,225.433319,226.666687,207.166687,208.800003,199.231033,1290400
2010-04-28,215.933319,217.783325,204.516678,212.533325,202.793274,643600
2010-04-29,217.899994,224.166687,217.199997,223.366684,213.130127,524400
2010-04-30,224.350006,225.483322,215.066681,216.066681,206.164688,549200
2010-05-03,218.733322,220.666687,213.083313,218.283325,208.279755,559600
2010-05-04,205.066681,206.449997,187.416687,190.000000,181.292618,6176800
2010-05-05,178.333313,188.000000,173.933319,180.000000,171.750885,604400
2010-05-06,176.933319,181.933319,140.000000,159.000000,151.713303,1002800
2010-05-07,164.133316,168.000000,148.066681,161.399994,154.003296,1036000
2010-05-10,190.199997,193.866684,186.866684,193.133316,184.282349,874000
2010-05-11,181.733322,191.800003,179.399994,183.600006,175.185913,702800
2010-05-12,187.666687,190.266678,185.666687,189.466675,180.783737,521200
2010-05-13,189.466675,192.533325,183.933319,184.333313,175.885635,655200
2010-05-14,180.000000,180.399994,167.199997,174.066681,166.089493,704000
2010-05-17,172.000000,175.266678,158.533325,169.199997,161.445847,542800
2010-05-18,174.600006,176.133316,157.199997,159.266678,151.967758,539200
2010-05-19,153.000000,157.333313,145.733322,154.266678,147.196884,714400
2010-05-20,137.666687,142.333313,130.000000,132.266678,126.205109,1228000
2010-05-21,127.199997,144.866684,126.666679,143.866684,137.273499,1051600
2010-05-24,145.000000,147.800003,139.333313,139.666687,133.265991,593600
2010-05-25,124.000000,136.199997,120.199997,136.066681,129.830978,968400
2010-05-26,140.333313,145.866684,133.866684,135.133316,128.940384,668400
2010-05-27,149.466675,158.866684,147.000000,157.199997,149.995804,614400
2010-05-28,156.866684,156.866684,148.666687,151.866684,144.906891,402800
2010-06-01,145.199997,155.333313,143.333313,143.466675,136.891846,453600
2010-06-02,146.866684,158.600006,145.733322,158.399994,151.140793,416800
2010-06-03,161.466675,162.199997,151.199997,156.399994,149.232452,532800
2010-06-04,147.333313,151.333313,139.399994,144.133316,137.527908,566800
2010-06-07,143.399994,144.066681,133.533325,133.866684,127.731804,321200
2010-06-08,138.600006,142.866684,133.133316,141.600006,135.110703,416400
2010-06-09,144.266678,150.466675,138.866684,140.600006,134.156555,410000
2010-06-10,149.933319,155.666687,149.000000,155.000000,147.896622,515600
2010-06-11,147.866684,157.933319,147.866684,157.000000,149.804947,444400
2010-06-14,163.333313,166.600006,156.666687,157.600006,150.377457,454000
2010-06-15,163.066681,172.199997,160.866684,170.733322,162.908905,584000
2010-06-16,166.133316,174.000000,165.333313,171.666687,163.799469,501600
2010-06-17,173.933319,173.933319,165.066681,169.133316,161.382217,520000
2010-06-18,171.800003,173.666687,168.399994,170.266678,162.463638,327200
2010-06-21,184.000000,186.333313,175.866684,178.000000,169.842560,605200
2010-06-22,178.866684,180.733322,167.866684,169.000000,161.782181,423600
2010-06-23,172.866684,172.866684,164.600006,170.333313,163.058517,482000
2010-06-24,168.399994,168.399994,159.199997,160.800003,153.932373,406800
2010-06-25,163.466675,167.933319,158.533325,166.466675,159.357025,401200
2010-06-28,165.466675,167.533325,161.800003,163.333313,156.357483,270800
2010-06-29,151.133316,151.333313,141.466675,143.066681,136.956421,764800
2010-06-30,145.199997,149.533325,139.399994,140.800003,134.786560,574000
2010-07-01,142.266678,143.933319,134.000000,143.000000,136.892593,551200
2010-07-02,145.000000,147.800003,141.666687,145.000000,138.807175,351200
2010-07-06,156.800003,160.000000,148.666687,153.600006,147.039902,512000
2010-07-07,153.066681,163.266678,151.933319,163.266678,156.293701,372400
2010-07-08,164.000000,166.533325,159.666687,165.933319,158.846451,369600
2010-07-09,166.066681,172.600006,165.600006,171.866684,164.526428,338800
2010-07-12,170.399994,172.800003,165.333313,167.133316,159.995209,229200
2010-07-13,172.533325,174.800003,170.666687,173.000000,165.611343,384800
2010-07-14,168.866684,173.333313,167.933319,171.466675,164.143494,334800
2010-07-15,169.666687,170.199997,163.000000,169.199997,161.973618,358000
2010-07-16,164.333313,164.533325,153.600006,154.266678,147.678085,409200
2010-07-19,157.933319,161.199997,155.133316,160.000000,153.166534,267200
2010-07-20,156.933319,172.000000,156.333313,171.133316,163.824356,346000
2010-07-21,174.066681,174.266678,164.000000,166.066681,158.974136,369200
2010-07-22,174.466675,182.000000,174.399994,180.800003,173.078186,426400
2010-07-23,180.266678,185.533325,176.466675,184.000000,176.141525,361600
2010-07-26,183.733322,189.133316,181.933319,187.733322,179.715378,308800
2010-07-27,191.600006,192.333313,184.800003,187.666687,179.651596,322000
2010-07-28,183.933319,187.866684,182.666687,184.399994,176.524460,189600
2010-07-29,189.600006,191.466675,181.000000,184.600006,176.715912,302000
2010-07-30,180.466675,189.333313,179.199997,187.600006,179.587769,345200
2010-08-02,198.000000,203.666687,196.866684,202.199997,193.564209,332400
2010-08-03,197.933319,201.666687,194.800003,199.066681,190.564697,249200
2010-08-04,199.399994,201.600006,195.466675,199.933319,191.394348,274400
2010-08-05,195.533325,198.399994,194.000000,197.600006,189.160675,210800
2010-08-06,193.399994,198.466675,190.333313,196.800003,188.394867,295600
2010-08-09,201.266678,201.666687,198.000000,199.199997,190.692337,178400
2010-08-10,189.933319,195.600006,188.000000,191.933319,183.736023,393600
2010-08-11,180.933319,180.933319,172.866684,174.199997,166.760071,646000
